Type,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Outcome,Removal of more than just outer clothing,Road name,postcode,Postal code,Time difference
0,51.51121,-0.094206,1,3,14,3,0,0,Little Trinity Lane,"Little Trinity Lane, Vintry, City of London, Greater London, England, EC4V 2AU, United Kingdom",EC4V 2AU,3.0
1,51.516814,-0.08162,1,2,12,2,0,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,44.0
1,51.512147,-0.092077,1,2,15,3,0,0,Queen Victoria Street,"3 Queen Victoria Street, Queen Victoria Street, Vintry, City of London, Greater London, England, EC4N 4TZ, United Kingdom",EC4N 4TZ,8.0
1,51.517149,-0.08776,1,1,15,3,1,0,London Wall,"Boots Opticians, 160-161, London Wall, Cornhill, City of London, Greater London, England, EC2M 5QD, United Kingdom",EC2M 5QD,25.0
0,51.511625,-0.081549,1,2,15,3,1,0,Mincing Lane,"Minster Court, 1, Mincing Lane, Cornhill, City of London, Greater London, England, EC3R 7AA, United Kingdom",EC3R 7AA,41.0
0,51.509775,-0.085014,1,3,14,3,1,0,Monument Street,"Red Hat, 30-36, Monument Street, Cornhill, City of London, Greater London, England, EC3R 8NB, United Kingdom",EC3R 8NB,32.0
0,51.508066,-0.08778,0,1,16,3,1,0,King William Street,"London Bridge, King William Street, Cornhill, City of London, Greater London, England, EC4R 9AN, United Kingdom",EC4R 9AN,38.0
1,51.516147,-0.082066,1,2,13,3,1,0,Wormwood Street,"Wormwood Street, Bishopsgate, City of London, Greater London, England, EC2N 1HU, United Kingdom",EC2N 1HU,28.0
1,51.514203,-0.094628,1,1,14,3,6,0,Cheapside,"Hotel Chocolat, 43, Cheapside, Cheap, City of London, Greater London, England, EC2V 6AH, United Kingdom",EC2V 6AH,4.0
0,51.516966,-0.1059,1,1,14,3,1,0,Plumtree Court,"The Plumtree, 54, Plumtree Court, West Smithfield, City of London, Greater London, England, EC4A 3BL, United Kingdom",EC4A 3BL,4.0
0,51.514461,-0.092268,1,1,13,3,1,0,King Street,"Colliers, 34, King Street, Cheap, City of London, Greater London, England, EC2V 8EE, United Kingdom",EC2V 8EE,17.0
