,Type,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
1064,Person search,2020-04-07T03:04:30+00:00,51.514367,-0.076592,Stolen goods,1
1067,Person and Vehicle search,2020-04-07T10:53:17+00:00,51.51962,-0.088766,Controlled drugs,1
1071,Person and Vehicle search,2020-04-10T02:32:27+00:00,51.522615,-0.077253,Controlled drugs,1
1074,Person search,2020-04-10T11:20:30+00:00,51.509848,-0.104494,Controlled drugs,1
1079,Person search,2020-04-12T02:34:10+00:00,51.513928,-0.108231,Article for use in theft,1
1080,Person search,2020-04-12T05:55:21+00:00,51.515307,-0.097277,Stolen goods,1
1084,Person search,2020-04-13T04:04:06+00:00,51.518864,-0.097562,Controlled drugs,1
1087,Person search,2020-04-14T07:01:17+00:00,51.51265,-0.101452,Stolen goods,1
1088,Person search,2020-04-14T08:10:19+00:00,51.512147,-0.092077,Stolen goods,1
1089,Person search,2020-04-15T02:31:57+00:00,51.508066,-0.08778,Offensive weapons,1
1101,Person and Vehicle search,2020-04-16T07:32:25+00:00,51.583366,-0.072178,Controlled drugs,1
1102,Person and Vehicle search,2020-04-16T08:23:26+00:00,51.589418,-0.076556,Controlled drugs,1
1109,Person search,2020-04-17T06:19:51+00:00,51.515142,-0.097645,Evidence of offences under the Act,1
1116,Person search,2020-04-17T08:17:19+00:00,51.506895,-0.058634,Controlled drugs,1
1119,Person search,2020-04-17T09:26:01+00:00,51.516814,-0.08162,Stolen goods,1
1130,Person and Vehicle search,2020-04-19T04:54:19+00:00,51.509027,-0.06304,Controlled drugs,1
1133,Person search,2020-04-20T03:11:36+00:00,51.514203,-0.094628,Article for use in theft,1
1136,Person search,2020-04-20T07:04:03+00:00,51.517244,-0.080376,Article for use in theft,1
1139,Person search,2020-04-21T04:39:48+00:00,51.514158,-0.100179,Evidence of offences under the Act,1
1147,Person search,2020-04-22T02:44:41+00:00,51.513928,-0.108231,Article for use in theft,1
1148,Person search,2020-04-22T02:50:24+00:00,51.512692,-0.104621,Article for use in theft,1
